"Method","Parameter","Bias","MSE","Coverage"
"Benchmark","mu1","0.0223994883793162","0.0256143804967315","0.953333333333333"
"IPD-AD","mu1","0.0129681064798102","0.0539028459183443","0.94"
"IPD-AD(pooled)","mu1","-0.00549064548965716","0.0553332914135572","0.94"
"IPD only","mu1","0.0428177162326552","0.103809967505311","0.986666666666667"
"Benchmark","mu2","-0.00884866411680962","0.025365294894688","0.946666666666667"
"IPD-AD","mu2","-0.00824172443347881","0.0394523906184612","0.956666666666667"
"IPD-AD(pooled)","mu2","-0.0350340874330336","0.0385244112383994","0.956666666666667"
"IPD only","mu2","-0.0142398066732936","0.109082476777173","0.98"
"Benchmark","mu3","-0.0123585939435916","0.0248371585629568","0.933333333333333"
"IPD-AD","mu3","-0.0174511353697325","0.0251674583855009","0.95"
"IPD-AD(pooled)","mu3","-0.0238291120882287","0.0259757111903585","0.946666666666667"
"IPD only","mu3","0.00988140954575378","0.0879907842396248","0.993333333333333"
"Benchmark","mu4","0.00368640742664256","0.0303672866738125","0.936666666666667"
"IPD-AD","mu4","-0.00101819841728526","0.0410193227831948","0.943333333333333"
"IPD-AD(pooled)","mu4","-0.00123780375951205","0.0377240026819191","0.94"
"IPD only","mu4","-0.0285384186540839","0.115834515457331","0.98"
